glyph_name,ps_name,sort_final,sort_design,USV
.notdef,.notdef,0,0,
.null,.null,1,1,
nonmarkingreturn,nonmarkingreturn,2,2,
space,space,3,3,0020
exclam,exclam,4,4,0021
quotedbl,quotedbl,5,5,0022
numbersign,numbersign,6,6,0023
dollar,dollar,7,7,0024
percent,percent,8,8,0025
ampersand,ampersand,9,9,0026
quotesingle,quotesingle,10,10,0027
parenleft,parenleft,11,11,0028
parenright,parenright,12,12,0029
asterisk,asterisk,13,13,002A
plus,plus,14,14,002B
comma,comma,15,15,002C
hyphen,hyphen,16,16,002D
period,period,17,17,002E
slash,slash,18,18,002F
zero,zero,19,19,0030
one,one,20,20,0031
two,two,21,21,0032
three,three,22,22,0033
four,four,23,23,0034
five,five,24,24,0035
six,six,25,25,0036
seven,seven,26,26,0037
eight,eight,27,27,0038
nine,nine,28,28,0039
colon,colon,29,29,003A
semicolon,semicolon,30,30,003B
less,less,31,31,003C
equal,equal,32,32,003D
greater,greater,33,33,003E
question,question,34,34,003F
at,at,35,35,0040
A,A,36,36,0041
B,B,37,37,0042
C,C,38,38,0043
D,D,39,39,0044
E,E,40,40,0045
F,F,41,41,0046
G,G,42,42,0047
H,H,43,43,0048
I,I,44,44,0049
J,J,45,45,004A
K,K,46,46,004B
L,L,47,47,004C
M,M,48,48,004D
N,N,49,49,004E
O,O,50,50,004F
P,P,51,51,0050
Q,Q,52,52,0051
R,R,53,53,0052
S,S,54,54,0053
T,T,55,55,0054
U,U,56,56,0055
V,V,57,57,0056
W,W,58,58,0057
X,X,59,59,0058
Y,Y,60,60,0059
Z,Z,61,61,005A
bracketleft,bracketleft,62,62,005B
backslash,backslash,63,63,005C
bracketright,bracketright,64,64,005D
asciicircum,asciicircum,65,65,005E
underscore,underscore,66,66,005F
grave,grave,67,67,0060
a,a,68,68,0061
b,b,69,69,0062
c,c,70,70,0063
d,d,71,71,0064
e,e,72,72,0065
f,f,73,73,0066
g,g,74,74,0067
h,h,75,75,0068
i,i,76,76,0069
j,j,77,77,006A
k,k,78,78,006B
l,l,79,79,006C
m,m,80,80,006D
n,n,81,81,006E
o,o,82,82,006F
p,p,83,83,0070
q,q,84,84,0071
r,r,85,85,0072
s,s,86,86,0073
t,t,87,87,0074
u,u,88,88,0075
v,v,89,89,0076
w,w,90,90,0077
x,x,91,91,0078
y,y,92,92,0079
z,z,93,93,007A
braceleft,braceleft,94,94,007B
bar,bar,95,95,007C
braceright,braceright,96,96,007D
asciitilde,asciitilde,97,97,007E
Adieresis,Adieresis,98,134,00C4
Aring,Aring,99,135,00C5
Ccedilla,Ccedilla,100,137,00C7
Eacute,Eacute,101,139,00C9
Ntilde,Ntilde,102,147,00D1
Odieresis,Odieresis,103,152,00D6
Udieresis,Udieresis,104,158,00DC
aacute,aacute,105,163,00E1
agrave,agrave,106,162,00E0
